model_id,model_name,score_pct,plan_id,plan_name,provider,price_usd_month,api_cost_per_task_usd,tasks_per_month,cost_per_task_usd,days_for_full_run,quota_method,confidence
claude-haiku-4.5,claude-haiku-4.5,0.22,claude-max-20x,Claude Max 20x,Anthropic,200.0,0.7769,32786.72,0.0061,0.1,budget,medium
claude-haiku-4.5,claude-haiku-4.5,0.22,claude-pro,Claude Pro,Anthropic,20.0,0.7769,1639.34,0.0122,2.07,budget,measured
claude-haiku-4.5,claude-haiku-4.5,0.22,claude-max-5x,Claude Max 5x,Anthropic,100.0,0.7769,8196.68,0.0122,0.41,budget,medium
claude-opus-4.6,claude-opus-4.6,27.6,claude-max-20x,Claude Max 20x,Anthropic,200.0,4.6625,5463.16,0.0366,0.62,budget,medium
claude-sonnet-4.6,claude-sonnet-4.6,31.77,claude-max-20x,Claude Max 20x,Anthropic,200.0,4.7517,5360.61,0.0373,0.63,budget,medium
gpt-5.4-mini,gpt-5.4-mini,24.34,chatgpt-pro-20x,ChatGPT Pro 20x,OpenAI,200.0,2.0278,4304.96,0.0465,0.79,budget,medium
claude-opus-4.6,claude-opus-4.6,27.6,claude-pro,Claude Pro,Anthropic,20.0,4.6625,273.16,0.0732,12.41,budget,measured
claude-opus-4.6,claude-opus-4.6,27.6,claude-max-5x,Claude Max 5x,Anthropic,100.0,4.6625,1365.79,0.0732,2.48,budget,medium
claude-sonnet-4.6,claude-sonnet-4.6,31.77,claude-pro,Claude Pro,Anthropic,20.0,4.7517,268.03,0.0746,12.65,budget,measured
claude-sonnet-4.6,claude-sonnet-4.6,31.77,claude-max-5x,Claude Max 5x,Anthropic,100.0,4.7517,1340.15,0.0746,2.53,budget,medium
gpt-5.4,gpt-5.4,55.53,chatgpt-pro-20x,ChatGPT Pro 20x,OpenAI,200.0,3.3064,2640.21,0.0758,1.28,budget,medium
claude-opus-4.8,claude-opus-4.8,58.19,claude-max-20x,Claude Max 20x,Anthropic,200.0,11.2814,2257.88,0.0886,1.5,budget,medium
minimax-m2.7,minimax-m2.7,0.22,opencode-go,OpenCode Go,OpenCode,10.0,0.5399,111.13,0.09,30.5,budget,high
gpt-5.4-mini,gpt-5.4-mini,24.34,chatgpt-plus,ChatGPT Plus,OpenAI,20.0,2.0278,215.25,0.0929,15.75,budget,measured
kimi-k2.6,kimi-k2.6,23.89,kimi-code-allegretto,Kimi Code Allegretto,Moonshot AI,29.36,2.6951,265.88,0.1104,12.75,requests,measured
claude-opus-4.7,claude-opus-4.7,54.2,claude-max-20x,Claude Max 20x,Anthropic,200.0,15.951,1596.89,0.1252,2.12,budget,medium
gpt-5.5,gpt-5.5,70.05,chatgpt-pro-20x,ChatGPT Pro 20x,OpenAI,200.0,5.7556,1516.71,0.1319,2.24,budget,medium
gpt-5.4,gpt-5.4,55.53,chatgpt-plus,ChatGPT Plus,OpenAI,20.0,3.3064,132.01,0.1515,25.68,budget,measured
claude-opus-4.8,claude-opus-4.8,58.19,claude-pro,Claude Pro,Anthropic,20.0,11.2814,112.89,0.1772,30.03,budget,measured
claude-opus-4.8,claude-opus-4.8,58.19,claude-max-5x,Claude Max 5x,Anthropic,100.0,11.2814,564.47,0.1772,6.01,budget,medium
minimax-m2.7,minimax-m2.7,0.22,ollama-pro,Ollama Pro,Ollama,20.0,0.5399,111.13,0.18,30.5,budget,high
glm-5.2,glm-5.2,41.52,glm-coding-pro,GLM Coding Plan Pro,Zhipu (Z.ai),21.98,3.3501,104.35,0.2106,32.49,requests,measured
claude-opus-4.7,claude-opus-4.7,54.2,claude-pro,Claude Pro,Anthropic,20.0,15.951,79.84,0.2505,42.46,budget,measured
claude-opus-4.7,claude-opus-4.7,54.2,claude-max-5x,Claude Max 5x,Anthropic,100.0,15.951,399.22,0.2505,8.49,budget,medium
claude-haiku-4.5,claude-haiku-4.5,0.22,ollama-pro,Ollama Pro,Ollama,20.0,0.7769,77.23,0.259,43.89,budget,high
gpt-5.5,gpt-5.5,70.05,chatgpt-plus,ChatGPT Plus,OpenAI,20.0,5.7556,75.84,0.2637,44.7,budget,measured
minimax-m2.7,minimax-m2.7,0.22,cursor-ultra,Cursor Ultra,Cursor,200.0,0.5399,740.88,0.27,4.58,budget,low
mimo-v2.5-pro,mimo-v2.5-pro,19.47,opencode-go,OpenCode Go,OpenCode,10.0,1.6825,35.66,0.2804,95.06,budget,high
glm-5.1,glm-5.1,17.52,glm-coding-pro,GLM Coding Plan Pro,Zhipu (Z.ai),21.98,6.7032,71.43,0.3077,47.46,requests,measured
glm-5.2,glm-5.2,41.52,glm-coding-lite,GLM Coding Plan Lite,Zhipu (Z.ai),7.23,3.3501,20.87,0.3464,162.44,requests,measured
gemini-3-flash-preview,gemini-3-flash-preview,5.14,ollama-pro,Ollama Pro,Ollama,20.0,1.0449,57.42,0.3483,59.04,budget,high
minimax-m2.7,minimax-m2.7,0.22,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,0.5399,27.78,0.3599,122.02,budget,high
kimi-k2.6,kimi-k2.6,23.89,kimi-code-andante,Kimi Code Andante,Moonshot AI,7.23,2.6951,18.73,0.3861,181.04,requests,measured
claude-haiku-4.5,claude-haiku-4.5,0.22,cursor-ultra,Cursor Ultra,Cursor,200.0,0.7769,514.87,0.3885,6.58,budget,low
kimi-k2.6,kimi-k2.6,23.89,opencode-go,OpenCode Go,OpenCode,10.0,2.6951,22.26,0.4492,152.27,budget,high
glm-5.1,glm-5.1,17.52,glm-coding-lite,GLM Coding Plan Lite,Zhipu (Z.ai),7.23,6.7032,14.29,0.5061,237.3,requests,measured
gemini-3.1-pro-preview,gemini-3.1-pro-preview,9.73,ollama-pro,Ollama Pro,Ollama,20.0,1.5215,39.43,0.5072,85.96,budget,high
claude-haiku-4.5,claude-haiku-4.5,0.22,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,0.7769,19.31,0.5179,175.58,budget,high
gemini-3-flash-preview,gemini-3-flash-preview,5.14,cursor-ultra,Cursor Ultra,Cursor,200.0,1.0449,382.81,0.5224,8.86,budget,low
minimax-m2.7,minimax-m2.7,0.22,cursor-pro,Cursor Pro,Cursor,20.0,0.5399,37.04,0.5399,91.51,budget,high
minimax-m2.7,minimax-m2.7,0.22,cursor-pro-plus,Cursor Pro+,Cursor,60.0,0.5399,111.13,0.5399,30.5,budget,low
mimo-v2.5-pro,mimo-v2.5-pro,19.47,ollama-pro,Ollama Pro,Ollama,20.0,1.6825,35.66,0.5608,95.06,budget,high
deepseek-v4-pro,deepseek-v4-pro,7.52,opencode-go,OpenCode Go,OpenCode,10.0,3.5375,16.96,0.5896,199.87,budget,high
qwen-3.6-plus,qwen-3.6-plus,2.65,opencode-go,OpenCode Go,OpenCode,10.0,3.6144,16.6,0.6024,204.21,budget,high
qwen-3.7-max,qwen-3.7-max,17.7,ollama-pro,Ollama Pro,Ollama,20.0,1.8699,32.09,0.6233,105.65,budget,high
gpt-5.4-mini,gpt-5.4-mini,24.34,ollama-pro,Ollama Pro,Ollama,20.0,2.0278,29.59,0.6759,114.57,budget,high
gemini-3-flash-preview,gemini-3-flash-preview,5.14,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,1.0449,14.36,0.6966,236.15,budget,high
gemini-3.1-pro-preview,gemini-3.1-pro-preview,9.73,cursor-ultra,Cursor Ultra,Cursor,200.0,1.5215,262.9,0.7608,12.89,budget,low
claude-haiku-4.5,claude-haiku-4.5,0.22,cursor-pro,Cursor Pro,Cursor,20.0,0.7769,25.74,0.7769,131.68,budget,high
claude-haiku-4.5,claude-haiku-4.5,0.22,cursor-pro-plus,Cursor Pro+,Cursor,60.0,0.7769,77.23,0.7769,43.89,budget,low
mimo-v2.5-pro,mimo-v2.5-pro,19.47,cursor-ultra,Cursor Ultra,Cursor,200.0,1.6825,237.74,0.8413,14.26,budget,low
kimi-k2.6,kimi-k2.6,23.89,ollama-pro,Ollama Pro,Ollama,20.0,2.6951,22.26,0.8984,152.27,budget,high
qwen-3.7-max,qwen-3.7-max,17.7,cursor-ultra,Cursor Ultra,Cursor,200.0,1.8699,213.92,0.9349,15.85,budget,low
gpt-5.4-mini,gpt-5.4-mini,24.34,cursor-ultra,Cursor Ultra,Cursor,200.0,2.0278,197.26,1.0139,17.19,budget,low
gemini-3.1-pro-preview,gemini-3.1-pro-preview,9.73,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,1.5215,9.86,1.0143,343.86,budget,high
gemini-3-flash-preview,gemini-3-flash-preview,5.14,cursor-pro,Cursor Pro,Cursor,20.0,1.0449,19.14,1.0449,177.11,budget,high
gemini-3-flash-preview,gemini-3-flash-preview,5.14,cursor-pro-plus,Cursor Pro+,Cursor,60.0,1.0449,57.42,1.0449,59.04,budget,low
gpt-5.4,gpt-5.4,55.53,ollama-pro,Ollama Pro,Ollama,20.0,3.3064,18.15,1.1021,186.81,budget,high
glm-5.2,glm-5.2,41.52,ollama-pro,Ollama Pro,Ollama,20.0,3.3501,17.91,1.1167,189.28,budget,high
glm-5.1,glm-5.1,17.52,opencode-go,OpenCode Go,OpenCode,10.0,6.7032,8.95,1.1172,378.73,budget,high
mimo-v2.5-pro,mimo-v2.5-pro,19.47,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,1.6825,8.92,1.1217,380.25,budget,high
deepseek-v4-pro,deepseek-v4-pro,7.52,ollama-pro,Ollama Pro,Ollama,20.0,3.5375,16.96,1.1792,199.87,budget,high
qwen-3.6-plus,qwen-3.6-plus,2.65,ollama-pro,Ollama Pro,Ollama,20.0,3.6144,16.6,1.2048,204.21,budget,high
qwen-3.7-max,qwen-3.7-max,17.7,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,1.8699,8.02,1.2466,422.6,budget,high
kimi-k2.6,kimi-k2.6,23.89,cursor-ultra,Cursor Ultra,Cursor,200.0,2.6951,148.42,1.3476,22.84,budget,low
gpt-5.4-mini,gpt-5.4-mini,24.34,github-copilot-pro,GitHub Copilot Pro,GitHub,10.0,2.0278,7.4,1.3519,458.28,budget,high
gemini-3.1-pro-preview,gemini-3.1-pro-preview,9.73,cursor-pro,Cursor Pro,Cursor,20.0,1.5215,13.14,1.5215,257.89,budget,high
gemini-3.1-pro-preview,gemini-3.1-pro-preview,9.73,cursor-pro-plus,Cursor Pro+,Cursor,60.0,1.5215,39.43,1.5215,85.96,budget,low
claude-opus-4.6,claude-opus-4.6,27.6,ollama-pro,Ollama Pro,Ollama,20.0,4.6625,12.87,1.5542,263.43,budget,high
claude-sonnet-4.6,claude-sonnet-4.6,31.77,ollama-pro,Ollama Pro,Ollama,20.0,4.7517,12.63,1.5839,268.47,budget,high
gpt-5.4,gpt-5.4,55.53,cursor-ultra,Cursor Ultra,Cursor,200.0,3.3064,120.98,1.6532,28.02,budget,low
glm-5.2,glm-5.2,41.52,cursor-ultra,Cursor Ultra,Cursor,200.0,3.3501,119.4,1.675,28.39,budget,low
minimax-m3,minimax-m3,20.44,ollama-pro,Ollama Pro,Ollama,20.0,5.0435,11.9,1.6812,284.96,budget,high
mimo-v2.5-pro,mimo-v2.5-pro,19.47,cursor-pro,Cursor Pro,Cursor,20.0,1.6825,11.89,1.6825,285.18,budget,high
mimo-v2.5-pro,mimo-v2.5-pro,19.47,cursor-pro-plus,Cursor Pro+,Cursor,60.0,1.6825,35.66,1.6825,95.06,budget,low
deepseek-v4-pro,deepseek-v4-pro,7.52,cursor-ultra,Cursor Ultra,Cursor,200.0,3.5375,113.07,1.7688,29.98,budget,low
